name,description,wikipedia_url,wikidata_id,birth_date,death_date,cause_of_death,manner_of_death,age_status,minimum_lifespan_days,maximum_lifespan_days,possible_age_range,occupations,wikipedia_cause_of_death,wikipedia_cause_of_death_qids,wikipedia_manner_of_death,wikipedia_manner_of_death_qids,wikipedia_occupations,wikipedia_occupation_qids,wikipedia_death_review_status
Gordon Cummins,British spree killer,https://en.wikipedia.org/wiki/Gordon_Cummins,Q2346804,1914-02-18,1942; 1942-06-25,hanging to death,,possible,10179,10543,"27 years, 317 days to 28 years, 316 days",criminal; serial killer; soldier,,,,,,,
Henri Devillers,French double agent,https://en.wikipedia.org/wiki/Henri_Devillers,Q3130978,1914-11-10,1942,gunshot wound,,possible,9914,10278,"27 years, 52 days to 28 years, 51 days",covert agent,,,,,,,
Horace A. Bass Jr.,recipient of the Navy Cross,https://en.wikipedia.org/wiki/Horace_A._Bass_Jr.,Q5901447,1915,1942,,,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",military personnel,,,,,,,
Jimmy Dodds,Northern Irish footballer,https://en.wikipedia.org/wiki/Jimmy_Dodds,Q108605210,1914-09-07,1942,,,possible,9978,10342,"27 years, 116 days to 28 years, 115 days",airman; association football player; military personnel,,,,,,,
Joe Ratica,American football player,https://en.wikipedia.org/wiki/Joe_Ratica,Q6211946,1914-08-04,1942,,,possible,10012,10376,"27 years, 150 days to 28 years, 149 days",American football player,,,,,,,
Julia Batino,Women's rights activist,https://en.wikipedia.org/wiki/Julia_Batino,Q6306198,1914,1942,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",,,,,,,,
Kurt Jonas,South African architect,https://en.wikipedia.org/wiki/Kurt_Jonas,Q132129813,1914,1942,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",architect,,,,,,,
Leonard W. Thornhill,Recipient of the Navy Cross,https://en.wikipedia.org/wiki/Leonard_W._Thornhill,Q6525819,1915,1942,,,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",military officer,,,,,,,
Li Sen,athletics competitor,https://en.wikipedia.org/wiki/Li_Sen,Q16571963,1914-01-07,1942,,,possible,10221,10585,"27 years, 359 days to 28 years, 358 days",athletics competitor,,,,,,,
Lorna Lloyd,British school teacher and diarist,https://en.wikipedia.org/wiki/Lorna_Lloyd,Q139815769,1914,1942,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",teacher,,,,,,,
Magda Bošković,"Croatian communist, Partisan and member of the women's rights movement",https://en.wikipedia.org/wiki/Magda_Bo%C5%A1kovi%C4%87,Q15056837,1914-11-03,1942,,homicide,possible,9921,10285,"27 years, 59 days to 28 years, 58 days",resistance fighter,,,,,,,
Maxime Lubat,French wrestler,https://en.wikipedia.org/wiki/Maxime_Lubat,Q61792406,1914-06-06,1942,,,possible,10071,10435,"27 years, 209 days to 28 years, 208 days",wrestler,,,,,,,
Mikhail Makarov,soviet agent of the Red Orchestra whose alias was Alamo,https://en.wikipedia.org/wiki/Mikhail_Makarov_(spy),Q1930351,1915,1942,gunshot wound,unnatural death,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",intelligence officer; romanist,,,,,,,
Trose Emmett Donaldson,Recipient of the Navy Cross,https://en.wikipedia.org/wiki/Trose_Emmett_Donaldson,Q7846290,1914-06-19,1942,,,possible,10058,10422,"27 years, 196 days to 28 years, 195 days",military officer,,,,,,,
Silvio Coucci,American jockey,https://en.wikipedia.org/wiki/Silvio_Coucci,Q7517105,1914,1942-01-05,falling from height,,possible,9867,10231,"27 years, 5 days to 28 years, 4 days",jockey,,,,,,,
John Dowland,Recipient of the George Cross,https://en.wikipedia.org/wiki/John_Dowland_(RAF_officer),Q6229986,1914-11-06,1942-01-13,,,confirmed,9930,9930,"27 years, 68 days",military personnel,,,,,,,
Selma Rauf Hanımsultan,Ottoman noble,https://en.wikipedia.org/wiki/Selma_Han%C4%B1msultan,Q111468500,1914-04-13,1942-01-13,,,confirmed,10137,10137,"27 years, 275 days",,,,,,,,
Helmut Bräutigam,German composer,https://en.wikipedia.org/wiki/Helmut_Br%C3%A4utigam,Q1519189,1914-02-16,1942-01-17,,,confirmed,10197,10197,"27 years, 335 days",composer,,,,,,,
Richard Bull,US NAvy aviator,https://en.wikipedia.org/wiki/Richard_Bull_(aviator),Q7324443,1914-07-14,1942-02-05,,,confirmed,10068,10068,"27 years, 206 days",military officer,,,,,,,
Adnan bin Saidi,Malayan soldier,https://en.wikipedia.org/wiki/Adnan_Saidi,Q4683942,1915,1942-02-14,,death in battle,possible,9542,9906,"26 years, 45 days to 27 years, 44 days",military personnel,,,,,,,
Bo Saw Aung,Burmese military officer,https://en.wikipedia.org/wiki/Bo_Saw_Aung,Q13065221,1914-04-28,1942-02-26,,,confirmed,10166,10166,"27 years, 304 days",civil servant; military personnel,,,,,,,
Osamu Kudō,Japanese flying ace,https://en.wikipedia.org/wiki/Osamu_Kud%C5%8D,Q7105689,1915,1942-03-03,,,possible,9559,9923,"26 years, 62 days to 27 years, 61 days",military personnel,,,,,,,
František Binder,Czech warrior,https://en.wikipedia.org/wiki/Franti%C5%A1ek_Binder,Q11866819,1914-10-22,1942-03-04,,death in battle,confirmed,9995,9995,"27 years, 133 days",airman; soldier,,,,,,,
Žikica Jovanović Španac,Yugoslav partisan,https://en.wikipedia.org/wiki/%C5%BDikica_Jovanovi%C4%87_%C5%A0panac,Q1280992,1914-03-17,1942-03-13,,,confirmed,10223,10223,"27 years, 361 days",military personnel,,,,,,,
Hans Marr,German ski jumper,https://en.wikipedia.org/wiki/Hans_Marr_(ski_jumper),Q16065028,1914-10-07,1942-03-20,,,confirmed,10026,10026,"27 years, 164 days",ski jumper,,,,,,,
Ion Ionescu-Căpăţână,Rumanian publisher and vegetarian,https://en.wikipedia.org/wiki/Ion_Ionescu-C%C4%83p%C4%83%C8%9B%C3%A2n%C4%83,Q131107099,1914,1942-04,,,possible,9953,10346,"27 years, 91 days to 28 years, 119 days",,,,,,,,
Karl-Heinz Krahl,German fighter ace and Knight's Cross recipient,https://en.wikipedia.org/wiki/Karl-Heinz_Krahl,Q6371442,1914-09-25,1942-04-14,,death in battle,confirmed,10063,10063,"27 years, 201 days",military personnel,,,,,,,
John Peter Wakefield,British racing car driver,https://en.wikipedia.org/wiki/Johnny_Wakefield,Q6252655,1915-04-05,1942-04-24,,accidental death,confirmed,9881,9881,"27 years, 19 days",aircraft pilot; racing automobile driver,,,,,,,
Slobodan Princip,Yugoslav partisan,https://en.wikipedia.org/wiki/Slobodan_Princip,Q245714,1914-05-25,1942-05,,,possible,10203,10233,"27 years, 341 days to 28 years, 6 days",military personnel,,,,,,,
Howard Franklin Clark,US Navy officer,https://en.wikipedia.org/wiki/Howard_Franklin_Clark,Q5919682,1914-09-15,1942-05-08,,death in battle,confirmed,10097,10097,"27 years, 235 days",military officer,,,,,,,
Fritz Zängl,German skier,https://en.wikipedia.org/wiki/Fritz_Z%C3%A4ngl,Q1469066,1914-12-13,1942-05-21,,,confirmed,10021,10021,"27 years, 159 days",biathlete; ski mountaineer,,,,,,,
Edward Darling,British flying ace of WWII,https://en.wikipedia.org/wiki/Edward_Darling_(RAF_officer),Q136592836,1914-10-11,1942-06-02,,,confirmed,10096,10096,"27 years, 234 days",airman,,,,,,,
Heinrich Eppen,German officer and Knight's Cross recipient,https://en.wikipedia.org/wiki/Heinrich_Eppen,Q5700072,1915-03-29,1942-06-04,,,confirmed,9929,9929,"27 years, 67 days",soldier,,,,,,,
Ivanka Škrabec Novak,Slovenian teacher and martyr,https://en.wikipedia.org/wiki/Ivanka_%C5%A0krabec_Novak,Q18507973,1915-03-17,1942-06-04,,homicide,confirmed,9941,9941,"27 years, 79 days",teacher,,,,,,,
John P. Gray,United States naval aviator and Navy Cross recipient,https://en.wikipedia.org/wiki/John_P._Gray_(naval_officer),Q6251582,1914-12-22,1942-06-04,,,confirmed,10026,10026,"27 years, 164 days",military officer,,,,,,,
John Q. Roberts,United States Navy Navy Cross recipient,https://en.wikipedia.org/wiki/John_Q._Roberts,Q6253633,1914-09-02,1942-06-04,,,confirmed,10137,10137,"27 years, 275 days",military officer,,,,,,,
John Thomas Eversole,United States Navy officer,https://en.wikipedia.org/wiki/John_T._Eversole,Q6259978,1915-04-17,1942-06-04,,,confirmed,9910,9910,"27 years, 48 days",military officer,,,,,,,
John W. Brock,United States Navy Navy Cross recipient,https://en.wikipedia.org/wiki/John_W._Brock,Q14585996,1914-08-15,1942-06-04,,death in battle,confirmed,10155,10155,"27 years, 293 days",military officer,,,,,,,
Mile Mećava,Serbian soldier in WWII,https://en.wikipedia.org/wiki/Mile_Me%C4%87ava,Q12755351,1915,1942-06-04,,,possible,9652,10016,"26 years, 155 days to 27 years, 154 days",military personnel,,,,,,,
Osborne B. Wiseman,American World War II Naval hero,https://en.wikipedia.org/wiki/Osborne_B._Wiseman,Q7105779,1915-02-20,1942-06-04,,,confirmed,9966,9966,"27 years, 104 days",military officer,,,,,,,
Oswald J. Gaynier,United States Navy Navy Cross recipient,https://en.wikipedia.org/wiki/Oswald_J._Gaynier,Q7108132,1915-03-04,1942-06-04,,,confirmed,9954,9954,"27 years, 92 days",military officer,,,,,,,
Patrick H. Hart,US Navy officer,https://en.wikipedia.org/wiki/Patrick_H._Hart,Q14590937,1915-05-31,1942-06-04,,,confirmed,9866,9866,"27 years, 4 days",military officer,,,,,,,
Severin Louis Rombach,American naval officer,https://en.wikipedia.org/wiki/Severin_Louis_Rombach,Q7457880,1914-11-26,1942-06-04,,,confirmed,10052,10052,"27 years, 190 days",military officer,,,,,,,
William W. Abercrombie,United States naval aviator and Navy Cross recipient,https://en.wikipedia.org/wiki/William_Abercrombie,Q8004109,1914-07-24,1942-06-04,,,confirmed,10177,10177,"27 years, 315 days",military officer,,,,,,,
Adolf Opálka,Czech soldier,https://en.wikipedia.org/wiki/Adolf_Op%C3%A1lka,Q2697962,1915-01-04,1942-06-18,,suicide,confirmed,10027,10027,"27 years, 165 days",military personnel,,,,,,,
Josef Valčík,Czechoslovak soldier and resistance fighter,https://en.wikipedia.org/wiki/Josef_Val%C4%8D%C3%ADk,Q1978320,1914-11-02,1942-06-18,,suicide,confirmed,10090,10090,"27 years, 228 days",military personnel,,,,,,,
Evžen Rošický,Czech publicist,https://en.wikipedia.org/wiki/Ev%C5%BEen_Ro%C5%A1ick%C3%BD,Q474304,1914-10-15,1942-06-25,gunshot wound,homicide,confirmed,10115,10115,"27 years, 253 days",athletics competitor; editing staff; journalist; opinion journalist; writer,,,,,,,
Raymond Lindeman,American ecologist,https://en.wikipedia.org/wiki/Raymond_Lindeman,Q7298962,1915,1942-06-29,,,possible,9677,10041,"26 years, 180 days to 27 years, 179 days",ecologist; environmentalist; limnologist,,,,,,,
Mac Ramsay,Australian rugby union player,https://en.wikipedia.org/wiki/Mac_Ramsay,Q124250322,1914-08-27,1942-07-01,,,confirmed,10170,10170,"27 years, 308 days",military personnel; rugby union player,,,,,,,
Heinz Bevernis,German soldier and Knight's Cross recipient,https://en.wikipedia.org/wiki/Heinz_Bevernis,Q13582316,1914-12-11,1942-07-19,,,confirmed,10082,10082,"27 years, 220 days",military personnel,,,,,,,
Erich Etienne,German aviator,https://en.wikipedia.org/wiki/Erich_Etienne,Q1352153,1915-02-24,1942-07-23,,,confirmed,10011,10011,"27 years, 149 days",aircraft pilot,,,,,,,
George Scott,association football player,"https://en.wikipedia.org/wiki/George_Scott_(footballer,_born_1915)",Q30605416,1915-06-11,1942-07-26,,,confirmed,9907,9907,"27 years, 45 days",association football player,,,,,,,
Gratien Fernando,Sri Lankan activist,https://en.wikipedia.org/wiki/Gratien_Fernando,Q5597682,1915,1942-08-05,gunshot wound,,possible,9714,10078,"26 years, 217 days to 27 years, 216 days",military personnel,,,,,,,
Bronisław Kostkowski,Polish Roman Catholic seminarian and martyr,https://en.wikipedia.org/wiki/Bronis%C5%82aw_Kostkowski,Q4235454,1915-03-11,1942-08-06,,,confirmed,10010,10010,"27 years, 148 days",,,,,,,,
Maria Aloysia Löwenfels,German nun,https://en.wikipedia.org/wiki/Maria_Aloysia_L%C3%B6wenfels,Q22670393,1915-07-05,1942-08-09; 1942-09-30,,,confirmed,9897,9949,"27 years, 35 days to 27 years, 87 days",nun,,,,,,,
Akim Samar,"Soviet poet, novelist",https://en.wikipedia.org/wiki/Akim_Samar,Q4701023,1916-04; 1916-05-15,1942-08-15; 1943-08-26,,,possible,9588,10008,"26 years, 92 days to 27 years, 147 days",military personnel; poet; writer,,,,,,,
Heinrich-Wilhelm Ahnert,German flying ace,https://en.wikipedia.org/wiki/Heinrich-Wilhelm_Ahnert,Q5699913,1915-04-29,1942-08-23,,death in battle,confirmed,9978,9978,"27 years, 116 days",aircraft pilot,,,,,,,
Horst Rosenthal,German-Jewish cartoonist,https://en.wikipedia.org/wiki/Horst_Rosenthal,Q50362078,1915-08-10,1942-09,,,confirmed,9884,9913,"27 years, 22 days to 27 years, 51 days",cartoonist; comics artist; illustrator; painter,,,,,,,
Ernest Herbert,English rugby league footballer,https://en.wikipedia.org/wiki/Ernie_Herbert_(rugby_league),Q16199366,1914,1942-09-18,,,possible,10123,10487,"27 years, 261 days to 28 years, 260 days",rugby league player,,,,,,,
Dennis Higgins,English footballer,https://en.wikipedia.org/wiki/Dennis_Higgins_(footballer),Q26837625,1915,1942-09-25,,,possible,9765,10129,"26 years, 268 days to 27 years, 267 days",association football player,,,,,,,
Adolf Baumgarten,German boxer,https://en.wikipedia.org/wiki/Adolf_Baumgarten,Q4684054,1915-05-03,1942-10-02,,,confirmed,10014,10014,"27 years, 152 days",boxer,,,,,,,
Mikhail Panikakha,"Hero of the Soviet Union, Red Army soldier",https://en.wikipedia.org/wiki/Mikhail_Panikakha,Q4343974,1914,1942-10-02,,,possible,10137,10501,"27 years, 275 days to 28 years, 274 days",military personnel,,,,,,,
Henry Davidson,British World War II flying ace,https://en.wikipedia.org/wiki/Henry_Davidson_(RAF_officer),Q140321593,1915-07-11,1942-10-06,,,confirmed,9949,9949,"27 years, 87 days",aircraft pilot,,,,,,,
William P. Kephart,United States Navy officer,https://en.wikipedia.org/wiki/William_P._Kephart,Q8016472,1915-09-09,1942-10-14,,,confirmed,9897,9897,"27 years, 35 days",military officer,,,,,,,
Alfred Naifeh,"lieutenant in the US Navy, namesake of the USS Naifeh",https://en.wikipedia.org/wiki/Alfred_Naifeh,Q26503727,1915-01-05,1942-10-16,,,confirmed,10146,10146,"27 years, 284 days",,,,,,,,
Kiyonobu Suzuki,Japanese flying ace,https://en.wikipedia.org/wiki/Kiyonobu_Suzuki_(pilot),Q6419055,1914,1942-10-26,,,possible,10161,10525,"27 years, 299 days to 28 years, 298 days",military personnel,,,,,,,
Ulrich Alexander Boschwitz,German writer,https://en.wikipedia.org/wiki/Ulrich_Alexander_Boschwitz,Q2475504,1915-04-19,1942-10-29,,,confirmed,10055,10055,"27 years, 193 days",writer,,,,,,,
George Thomas Sullivan,,https://en.wikipedia.org/wiki/George_Thomas_Sullivan,Q135088113,1914-12-14,1942-11; 1942-11-13; 1942-11-18,,,confirmed,10184,10213,"27 years, 322 days to 27 years, 351 days",,,,,,,,
Carl W. Weiss,United States Marine,https://en.wikipedia.org/wiki/Carl_W._Weiss,Q5040923,1915-03-27,1942-11-02,,,confirmed,10082,10082,"27 years, 220 days",military personnel,,,,,,,
Albert T. Harris,United States Navy officer,https://en.wikipedia.org/wiki/Albert_T._Harris,Q4711299,1915-08-29,1942-11-12,,,confirmed,9937,9937,"27 years, 75 days",military officer,,,,,,,
Frank Greenwood,US Navy officer,https://en.wikipedia.org/wiki/Frank_Greenwood_(naval_officer),Q5486945,1915-01-10,1942-11-12,,,confirmed,10168,10168,"27 years, 306 days",military officer,,,,,,,
Keith Pettiford,Australian rugby league player and soldier,https://en.wikipedia.org/wiki/Keith_Pettiford,Q97154257,1915-02-15,1942-11-20,,,confirmed,10140,10140,"27 years, 278 days",military personnel,,,,,,,
Carmelo Borg Pisani,"Maltese-born artist and Italian Fascist, who was executed for treason",https://en.wikipedia.org/wiki/Carmelo_Borg_Pisani,Q1074175,1915-08-10,1942-11-28,hanging to death,capital punishment,confirmed,9972,9972,"27 years, 110 days",artist; painter; spy,,,,,,,
Colin Perry,association football player,https://en.wikipedia.org/wiki/Colin_Perry,Q23041958,1914,1942-11-28,,,possible,10194,10558,"27 years, 332 days to 28 years, 331 days",association football player,,,,,,,
Licio Visintini,Italian naval officer,https://en.wikipedia.org/wiki/Licio_Visintini,Q3832009,1915-02-12,1942-12-08,,,confirmed,10161,10161,"27 years, 299 days",military personnel,,,,,,,
Heinz Körvers,German handball player,https://en.wikipedia.org/wiki/Heinz_K%C3%B6rvers,Q1600529,1915-07-03,1942-12-29,,,confirmed,10041,10041,"27 years, 179 days",athlete; firefighter; handball player,,,,,,,
Valter Neeris,Estonian association football player,https://en.wikipedia.org/wiki/Valter_Neeris,Q4008353,1915-03-21,1942-12-30,,,confirmed,10146,10146,"27 years, 284 days",association football player,,,,,,,
Abdulah Čamo,,https://en.wikipedia.org/wiki/Abdulah_%C4%8Camo,Q20525835,1916,1943,,,possible,9497,10226,"26 years, 1 day to 27 years, 364 days",military personnel,,,,,,,
Antun Blažić,Croatian partisan,https://en.wikipedia.org/wiki/Antun_Bla%C5%BEi%C4%87,Q4777443,1916-05-28,1943; 1943-09,,,possible,9714,10078,"26 years, 218 days to 27 years, 217 days",military personnel,,,,,,,
Božidar Ćosović-Javorski,Yugoslav officer,https://en.wikipedia.org/wiki/Bo%C5%BEidar_%C4%86osovi%C4%87,Q15206966,1916,1943,,,possible,9497,10226,"26 years, 1 day to 27 years, 364 days",military personnel,,,,,,,
Edward Gerstenfeld,chess player,https://en.wikipedia.org/wiki/Edward_Gerstenfeld,Q4137645,1915,1943,,unnatural death,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",chess player,,,,,,,
Fehim Musakadić,Serbian military officer,https://en.wikipedia.org/wiki/Fehim_Musakadi%C4%87,Q24718728,1915,1943,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",military personnel,,,,,,,
Hans Wilhelm Hupp,German art historian and curator,https://en.wikipedia.org/wiki/Hans_Wilhelm_Hupp,Q48441175,1916,1943,,,possible,9497,10226,"26 years, 1 day to 27 years, 364 days",art historian,,,,,,,
Hayri Arsebük,Turkish basketball player,https://en.wikipedia.org/wiki/Hayri_Arseb%C3%BCk,Q3313689,1915-02-08,1943,,,possible,10189,10553,"27 years, 327 days to 28 years, 326 days",basketball player,,,,,,,
Imre Mándi,Hungarian boxer,https://en.wikipedia.org/wiki/Imre_M%C3%A1ndi,Q1212111,1916-11-22,1943,,,possible,9536,9900,"26 years, 40 days to 27 years, 39 days",boxer,,,,,,,
Karlrobert Kreiten,German musician,https://en.wikipedia.org/wiki/Karlrobert_Kreiten,Q95432,1916-06-26,1943; 1943-09-07,hanging to death,capital punishment,possible,9685,10049,"26 years, 189 days to 27 years, 188 days",musician; pianist,,,,,,,
Kenji Okabe,Japanese naval flying ace,https://en.wikipedia.org/wiki/Kenji_Okabe,Q6389351,1915,1943,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",military personnel,,,,,,,
Louis Werfel,American orthodox rabbi,https://en.wikipedia.org/wiki/Louis_Werfel,Q6688368,1916,1943,,,possible,9497,10226,"26 years, 1 day to 27 years, 364 days",rabbi,,,,,,,
Marian Kozłowski,Polish canoeist,https://en.wikipedia.org/wiki/Marian_Koz%C5%82owski_(canoeist),Q287024,1915-06-06,1943,,,possible,10071,10435,"27 years, 209 days to 28 years, 208 days",canoeist,,,,,,,
Mordechaj Tenenbaum,Polish resistance fighter,https://en.wikipedia.org/wiki/Mordechai_Tenenbaum,Q321498,1916,1943,,suicide,possible,9497,10226,"26 years, 1 day to 27 years, 364 days",activist; resistance fighter,,,,,,,
Slobodan Bajić Paja,Yugoslav partisan,https://en.wikipedia.org/wiki/Slobodan_Baji%C4%87_Paja,Q1256617,1916-06-26,1943,,,possible,9685,10049,"26 years, 189 days to 27 years, 188 days",,,,,,,,
Mirče Acev,Macedonian communist,https://en.wikipedia.org/wiki/Mir%C4%8De_Acev,Q2984520,1915-10-20,1943-01-04,,,confirmed,9938,9938,"27 years, 76 days",student,,,,,,,
Strašo Pindžur,Yugoslav partisan,https://en.wikipedia.org/wiki/Stra%C5%A1o_Pind%C5%BEur,Q3397162,1915-03-15,1943-01-04,,unnatural death,confirmed,10157,10157,"27 years, 295 days",revolutionary,,,,,,,
Bruno Jesi,Italian soldier,https://en.wikipedia.org/wiki/Bruno_Jesi,Q3645802,1916-01-11,1943-01-11,,,confirmed,9862,9862,"27 years, 0 days",military personnel,,,,,,,
Henner Henkel,German tennis player,https://en.wikipedia.org/wiki/Henner_Henkel,Q647833,1915-10-09,1943-01-13,hypothermia,,confirmed,9958,9958,"27 years, 96 days",tennis player,,,,,,,
Bruce Godfrey Brackett,United States Navy officer,https://en.wikipedia.org/wiki/Bruce_Godfrey_Brackett,Q4977556,1915-10-16,1943-01-14,,death in battle,confirmed,9952,9952,"27 years, 90 days",military officer,,,,,,,
Mahmud Amayev,Soviet WWII soldier,https://en.wikipedia.org/wiki/Mahmud_Amayev,Q4063881,1916,1943-02-22,,,possible,9549,9914,"26 years, 53 days to 27 years, 52 days",,,,,,,,
Herbert Schneider,German navy officer and WWII submarine commander,https://en.wikipedia.org/wiki/Herbert_Schneider_(officer),Q4525811,1915-06-25,1943-02-23,,,confirmed,10105,10105,"27 years, 243 days",Marineoffizier; soldier; submariner,,,,,,,
Friedrich Banach,German soldier and Knight's Cross recipient,https://en.wikipedia.org/wiki/Friedrich_Banach,Q5503756,1916-01-02,1943-03-13,,,confirmed,9932,9932,"27 years, 70 days",,,,,,,,
Eric Anderson,recipient of the Victoria Cross,https://en.wikipedia.org/wiki/Eric_Anderson_(VC),Q5386019,1915-09-15,1943-04-06,,,confirmed,10065,10065,"27 years, 203 days",military personnel,,,,,,,
Herb Bonn,American basketball player,https://en.wikipedia.org/wiki/Herb_Bonn,Q24203375,1916-01-14,1943-04-07,,,confirmed,9945,9945,"27 years, 83 days",basketball player,,,,,,,
Helmut Fiehn,German navy officer and world war II U-boat commander,https://en.wikipedia.org/wiki/Helmut_Fiehn,Q10294562,1916-02-19,1943-04-23,,,confirmed,9925,9925,"27 years, 63 days",Marineoffizier; soldier; submariner,,,,,,,
Arvid Storsveen,Norwegian resistance member,https://en.wikipedia.org/wiki/Arvid_Storsveen,Q4802447,1915-07-09,1943-04-27,,,confirmed,10154,10154,"27 years, 292 days",engineer,,,,,,,
Heribert Sperner,Association footballer,https://en.wikipedia.org/wiki/Heribert_Sperner,Q5738431,1915-09-06,1943-04-28,,,confirmed,10096,10096,"27 years, 234 days",association football player,,,,,,,
Heinz Strelow,German resistance fighter,https://en.wikipedia.org/wiki/Heinz_Strelow,Q104459,1915-07-15,1943-05-13,decapitation,capital punishment,confirmed,10164,10164,"27 years, 302 days",resistance fighter,,,,,,,
Dinghy Young,Recipient of the DFC and bar,https://en.wikipedia.org/wiki/Dinghy_Young,Q5278202,1915-05-20,1943-05-17,,death in battle,confirmed,10224,10224,"27 years, 362 days",airman,,,,,,,
Henry Thingstad,Norwegian sports official and communist resistance member,https://en.wikipedia.org/wiki/Henry_Thingstad,Q5729115,1916-04-09,1943-05-19,gunshot wound,,confirmed,9901,9901,"27 years, 40 days",military personnel; politician; watchmaker,,,,,,,
George Bullock,English association football player,https://en.wikipedia.org/wiki/George_Bullock_(footballer),Q62995264,1916-01-02,1943-05-31,,,confirmed,10011,10011,"27 years, 149 days",association football player,,,,,,,
Umer Aqmolla Adamanov,soviet Crimean Tatar partisan in Poland,https://en.wikipedia.org/wiki/Umer_Adamanov,Q9366527,1916-04-15,1943-06-01,,,confirmed,9908,9908,"27 years, 47 days",military personnel,,,,,,,
Asim Zeneli,Albanian military personnel,https://en.wikipedia.org/wiki/Asim_Zeneli,Q4806982,1916,1943-07-02,,,possible,9679,10044,"26 years, 183 days to 27 years, 182 days",military personnel,,,,,,,
Arthur Hodgkinson,British flying ace of WWII,https://en.wikipedia.org/wiki/Arthur_Hodgkinson_(RAF_officer),Q131367443,1916,1943-07-10,,,possible,9687,10052,"26 years, 191 days to 27 years, 190 days",military personnel,,,,,,,
Zygmunt Rumel,Polish poet,https://en.wikipedia.org/wiki/Zygmunt_Rumel,Q8075810,1915,1943-07-10,,death in battle,possible,10053,10417,"27 years, 191 days to 28 years, 190 days",military officer; poet; writer,,,,,,,
Graham Hayes,WWII British commando,https://en.wikipedia.org/wiki/Graham_Hayes,Q22004850,1916,1943-07-13,gunshot wound,,possible,9690,10055,"26 years, 194 days to 27 years, 193 days",military personnel,,,,,,,
Günther Tonne,German officer and Knight's Cross recipient,https://en.wikipedia.org/wiki/G%C3%BCnther_Tonne,Q5627084,1916-05-21,1943-07-15,,,confirmed,9916,9916,"27 years, 55 days",,,,,,,,
Vittoria Nenni,Italian resistance fighter,https://en.wikipedia.org/wiki/Vittoria_Nenni,Q4015223,1915-10-31,1943-07-15,,,confirmed,10119,10119,"27 years, 257 days",partisan; resistance fighter,,,,,,,
Antonina Lebedeva,Soviet aviator,https://en.wikipedia.org/wiki/Antonina_Lebedeva,Q4255827,1916-03-29,1943-07-17,,death in battle,confirmed,9971,9971,"27 years, 110 days",fighter pilot; military aviator,,,,,,,
Hans-Detloff von Cossel,German officer and Knight's Cross recipient,https://en.wikipedia.org/wiki/Hans-Detloff_von_Cossel,Q10307752,1916-07-01,1943-07-22,,,confirmed,9882,9882,"27 years, 21 days",military personnel,,,,,,,
Fritz Dinger,German fighter ace and Knight's Cross recipient,https://en.wikipedia.org/wiki/Fritz_Dinger,Q5504895,1915-08-20,1943-07-27,,,confirmed,10203,10203,"27 years, 341 days",military personnel,,,,,,,
Otto Tange,German fighter ace and Knight's Cross recipient,https://en.wikipedia.org/wiki/Otto_Tange,Q7109848,1915-09-22,1943-07-30,,,confirmed,10173,10173,"27 years, 311 days",aircraft pilot,,,,,,,
Ursula Goetze,resistance fighter against the national socialism,https://en.wikipedia.org/wiki/Ursula_Goetze,Q108809,1916-03-29,1943-08-05,decapitation,,confirmed,9990,9990,"27 years, 129 days",resistance fighter; spy,,,,,,,
Kenneth Scott,English cricketer,https://en.wikipedia.org/wiki/Kenneth_Scott_(cricketer),Q15996162,1915-08-17,1943-08-09,,,confirmed,10219,10219,"27 years, 357 days",cricketer,,,,,,,
Eliyahu Giladi,Irgun and Lehi fighter,https://en.wikipedia.org/wiki/Eliyahu_Giladi,Q12016611,1915,1943-08-17,gunshot wound,capital punishment,possible,10091,10455,"27 years, 229 days to 28 years, 228 days",,,,,,,,
Michał Rozenfeld,"participant of the Warsaw Ghetto uprising, partisan of the Mordechai Anielewicz Unit of the People's Guard",https://en.wikipedia.org/wiki/Micha%C5%82_Rozenfeld,Q11779178,1916,1943-09-02,,death in battle,possible,9741,10106,"26 years, 245 days to 27 years, 244 days",resistance fighter,,,,,,,
Robert Dafforn,British flying ace of WWII,https://en.wikipedia.org/wiki/Robert_Dafforn,Q123000637,1916-03-02,1943-09-09,,,confirmed,10052,10052,"27 years, 191 days",military personnel,,,,,,,
Gabriel Plançon,French resistance fighter,https://en.wikipedia.org/wiki/Gabriel_Plan%C3%A7on,Q3093912,1916-07-10,1943-09-14,,,confirmed,9927,9927,"27 years, 66 days",French resistance fighter; unit record equipment,,,,,,,
Hans-Hartwig Trojer,German World War II U-boat commander,https://en.wikipedia.org/wiki/Hans-Hartwig_Trojer,Q2455029,1916-01-22,1943-09-27,,,confirmed,10110,10110,"27 years, 248 days",soldier,,,,,,,
